party_key,account_key,account_num,account_open_date,acct_is_active,acct_risk_level,relation,account_type_desc
958130,461899,3457461-5872986,20NOV1981,Y,2,Detenteur,Joint
427730,547494,6243275-5276341,15OCT1996,N,2,Signataire,Particulier
815707,899281,1812172-1770794,19JUN1984,Y,1,Signataire,Particulier
332360,524045,5081983-6137284,13OCT2009,Y,2,Signataire,Association
950083,873443,6882609-8183451,12JUN1987,Y,2,Mandataire,Entreprise
501574,344907,7891662-1732280,10APR1994,Y,4,Signataire,Trust
861319,413058,9214801-3493017,12JAN2000,Y,2,Beneficiaire,Joint
720407,870925,3938247-8167236,07DEC2004,Y,1,Beneficiaire,Trust
942700,678443,3177199-2446455,13DEC1982,Y,1,Signataire,Association
198907,201639,8231838-6944126,31DEC1998,Y,2,Detenteur,Particulier
677390,786406,6663388-5317226,29MAR2014,N,2,Signataire,Trust
753898,516444,2716512-1123271,11DEC2002,N,5,Beneficiaire,Association
826353,516791,2347467-6512415,26MAR2018,Y,2,Signataire,Joint
355021,831105,4789255-6032739,07SEP2010,N,3,Detenteur,Particulier
396635,506235,7858012-6676858,15JUN2010,Y,2,Beneficiaire,Particulier
599397,413369,2324645-7623718,30JUN2020,Y,5,Detenteur,Association
238394,505629,8060918-7130603,04JUL2004,Y,4,Signataire,Particulier
204180,818987,7162857-7017548,19SEP1982,Y,1,Mandataire,Particulier
693128,626797,6395626-7515956,17FEB1992,Y,1,Beneficiaire,Association
501058,570325,7333337-7302286,07AUG1983,Y,1,Mandataire,Joint
813884,827356,7739741-1650662,02OCT1997,Y,1,Beneficiaire,Entreprise
787277,623481,7637601-8698256,29MAY1986,Y,1,Mandataire,Association
487477,398830,3646552-8351517,26MAY2017,Y,5,Beneficiaire,Association
483366,891638,3420404-4339637,09JAN2007,Y,2,Detenteur,Particulier
348041,721301,6335227-7019382,30DEC2020,Y,2,Beneficiaire,Association
249715,989894,8351320-1583829,30AUG1985,Y,3,Beneficiaire,Joint
680828,341292,4694634-1120642,09MAR1983,Y,2,Detenteur,Entreprise
766563,974628,7120868-3728882,09AUG1996,Y,5,Beneficiaire,Particulier
390421,775933,2413458-5163551,27OCT2004,Y,1,Beneficiaire,Particulier
868043,673108,5112546-3526084,14APR1980,N,2,Detenteur,Entreprise
381981,415759,5503118-9273246,18JUL1986,Y,1,Signataire,Joint
160423,689704,7923579-7987842,30DEC2004,Y,1,Signataire,Entreprise
743966,311250,3189251-6716988,28FEB2012,Y,2,Beneficiaire,Particulier
134677,578621,1848243-7046090,10AUG2011,Y,3,Beneficiaire,Trust
850827,913894,8678589-1620485,28FEB1993,Y,2,Mandataire,Particulier
568449,653829,7069742-2310346,22APR2005,Y,1,Mandataire,Association
742848,434002,3726331-7592683,27AUG2007,Y,1,Beneficiaire,Association
516359,878086,1709714-8318550,03NOV1980,Y,4,Detenteur,Joint
577309,635593,7041876-1930113,30MAY2002,N,2,Mandataire,Joint
863934,924629,6262632-8321474,12MAR2007,N,5,Detenteur,Trust
163556,522179,6692553-2833230,25FEB1991,Y,1,Signataire,Entreprise
568436,890371,5479421-6530194,18JUL1993,Y,1,Detenteur,Joint
561124,171603,8867190-8419020,27APR2008,Y,3,Beneficiaire,Association
583550,768891,5261032-8710313,15JUN1991,Y,1,Signataire,Joint
648913,478120,2135470-9825812,28MAY2004,Y,1,Detenteur,Trust
471136,325146,4139874-5613428,21JUL1992,Y,3,Mandataire,Particulier
606404,356773,7813102-5990112,05MAY2000,Y,5,Detenteur,Entreprise
332335,449247,3820798-2281433,24NOV2002,Y,4,Mandataire,Joint
103717,449759,3194789-5394880,01APR1987,Y,2,Signataire,Association
203398,941814,8876742-6372622,10FEB1989,Y,1,Signataire,Particulier
640659,886224,5667852-7191986,24MAY2000,N,3,Beneficiaire,Association
102593,911739,2562657-8691502,23JUN2008,Y,3,Beneficiaire,Particulier
660069,128276,7610562-1454696,07OCT1983,Y,1,Mandataire,Trust
755900,321275,5440025-2362099,17JAN1987,Y,1,Detenteur,Entreprise
307757,963684,7720647-7245146,14OCT2010,Y,1,Detenteur,Association
232731,387636,1763626-1914794,27OCT2004,Y,3,Mandataire,Trust
166613,503457,7402509-8852574,26SEP2003,Y,2,Detenteur,Particulier
314181,802258,6271130-5004485,30NOV1991,Y,1,Beneficiaire,Trust
910075,523808,9633492-1019311,02JUL2009,N,1,Signataire,Trust
862560,738457,9854536-8101036,26DEC1984,Y,2,Mandataire,Joint
617033,497108,6892681-7297287,19JUL1984,N,1,Mandataire,Entreprise
153231,802371,9909397-4786141,13AUG2008,Y,2,Detenteur,Trust
405605,870571,9237735-5067204,14AUG1994,Y,2,Signataire,Joint
124813,792094,4240180-7685149,22SEP1994,Y,2,Detenteur,Joint
734210,320861,6752576-4415796,02NOV2010,Y,1,Beneficiaire,Association
842776,319832,8356053-5887726,15APR2017,Y,1,Signataire,Trust
584487,206857,3345338-3037647,14JUL1980,Y,1,Mandataire,Entreprise
491439,827120,3371602-9570219,04JUN1997,Y,1,Mandataire,Association
758765,201883,1661401-6183033,17MAY2015,Y,3,Beneficiaire,Entreprise
592972,145649,7490791-7262974,18MAY1991,Y,3,Beneficiaire,Particulier
903035,231869,3154051-8973915,29AUG2004,Y,1,Signataire,Entreprise
901467,106693,7918793-3306725,17OCT2017,Y,3,Detenteur,Entreprise
486649,972097,5816353-2287332,01DEC2008,N,2,Detenteur,Association
699544,676363,9236745-3576811,12JUN1982,Y,5,Signataire,Particulier
736553,940886,6910964-4674286,22JUL2008,Y,2,Beneficiaire,Entreprise
703727,550137,7785090-8007741,26DEC1992,Y,1,Detenteur,Joint
228594,242321,2242387-8584017,29SEP1987,N,3,Signataire,Particulier
461551,352838,2739191-6578736,25DEC1985,Y,2,Beneficiaire,Entreprise
803787,768480,7815076-7095349,06JAN2003,N,2,Mandataire,Particulier
194641,158896,4902772-4671004,22NOV1980,Y,1,Detenteur,Joint
