party_key,account_key,account_num,trx_date,amount,branch,sign,transaction_type,transaction_type_desc,account_type_desc
176577,147489,8108462-6780235,09JUL2023,11.96,816881,-,SIC:VMW,Transfert Internet,Particulier
210790,272359,8542478-8819107,08MAY2022,4.56,819928,-,SIC:POS,Achat POS,Entreprise
251195,888795,7682298-2290796,27JUN2021,216.47,813045,-,SIC:VMW,Transfert Internet,Association
949153,699425,4158134-6394323,25AUG2025,5.18,819785,+,SIC:DDI,Depot Especes,Particulier
563864,787836,5302415-9037616,13DEC2023,62.1,815333,-,SIC:POS,Achat POS,Association
219781,464825,6905327-8681625,05SEP2024,22.87,812584,+,SIC:CHQ,Cheque,Association
440839,794395,9025733-9816043,22FEB2020,339.02,811409,+,SIC:DDI,Depot Especes,Trust
992717,265156,3920762-7064832,19AUG2020,186.95,811750,-,SIC:DPT,Paiement facture,Entreprise
912764,669488,7154919-1698108,23OCT2022,31.79,815012,-,SIC:DPT,Paiement facture,Trust
208998,315161,9888812-4995789,15APR2022,122.53,815506,+,SIC:CHQ,Cheque,Entreprise
855408,101343,1807780-7474950,23FEB2021,3.01,812291,-,SIC:VMW,Transfert Internet,Trust
530749,906527,7869154-2237331,11MAY2024,201.42,815803,+,SIC:POS,Achat POS,Trust
705393,206694,4136665-7136988,11JUL2020,47.49,813615,+,SIC:POS,Achat POS,Joint
114768,872399,6655803-5949685,04JUL2023,38.12,815012,+,SIC:DPT,Paiement facture,Entreprise
383060,771088,4684531-6440561,11APR2022,87.48,814733,-,SIC:CHQ,Cheque,Entreprise
555292,264735,1898516-2698824,12JUL2022,41.22,816925,-,SIC:DPT,Paiement facture,Trust
982554,769987,9517169-4337174,15MAR2022,30.97,812535,+,SIC:VMW,Transfert Internet,Association
986088,561694,2672884-9823994,01NOV2020,17.76,811488,-,SIC:DDI,Depot Especes,Trust
108454,829386,6764217-3023227,25MAR2024,314.59,814257,-,SIC:VMW,Transfert Internet,Trust
176577,147489,8108462-6780235,21OCT2021,18.43,811434,+,SIC:CHQ,Cheque,Particulier
711868,603787,3860717-9795159,26SEP2021,6.28,814611,-,SIC:POS,Achat POS,Entreprise
563864,787836,5302415-9037616,18MAY2023,188.68,816635,-,SIC:DDI,Depot Especes,Association
665492,891952,4374754-6229731,25JUL2023,224.2,811488,-,SIC:ATM,Retrait ATM,Trust
629990,784793,9304216-7864135,14OCT2021,318.84,812584,+,SIC:DPT,Paiement facture,Trust
400614,117975,9425786-8223819,25JUN2022,362.47,817201,+,SIC:DPT,Paiement facture,Particulier
771590,789237,8250013-7636771,17APR2023,144.03,811750,-,SIC:CHQ,Cheque,Trust
703656,987624,7516648-6952633,06FEB2020,977.56,815557,+,SIC:POS,Achat POS,Entreprise
970720,916990,8795078-9028420,25SEP2022,154.23,812291,-,SIC:CHQ,Cheque,Particulier
720970,550418,7523581-1074659,09APR2021,39.54,812584,-,SIC:DDI,Depot Especes,Particulier
438334,843788,4782763-6805303,18OCT2025,303.41,811106,-,SIC:ATM,Retrait ATM,Joint
717113,549660,6123430-2010496,30DEC2024,36.1,819928,-,SIC:VMW,Transfert Internet,Entreprise
656711,460455,8138769-6549757,05AUG2023,8.7,812679,+,SIC:ATM,Retrait ATM,Joint
705393,206694,4136665-7136988,24DEC2025,9065.41,817201,-,SIC:VMW,Transfert Internet,Joint
743937,749253,5123584-5951043,03OCT2024,563.36,814582,-,SIC:POS,Achat POS,Particulier
954596,854213,9468772-8159521,17NOV2024,592.13,814657,-,SIC:VMW,Transfert Internet,Entreprise
185916,596574,2937918-6173311,07APR2020,115.78,818359,+,SIC:DDI,Depot Especes,Joint
704596,299312,5273534-1744682,10AUG2020,76.92,811434,-,SIC:ATM,Retrait ATM,Joint
744481,331577,4676367-3240912,21JUL2022,47.98,816574,+,SIC:POS,Achat POS,Trust
108454,829386,6764217-3023227,14JUL2024,8.4,811409,+,SIC:DDI,Depot Especes,Trust
871476,668532,2022698-6261415,30DEC2025,9719.57,814657,-,SIC:ATM,Retrait ATM,Association
389666,910208,7961578-6702160,05JUL2020,9.9,814657,+,SIC:ATM,Retrait ATM,Joint
685196,412999,4772642-5993143,10MAR2021,78.14,812291,+,SIC:DDI,Depot Especes,Trust
274446,827712,6024207-1485654,27FEB2023,565.4,813547,+,SIC:POS,Achat POS,Joint
573209,177289,1560573-5947745,06MAY2020,147.45,812584,+,SIC:POS,Achat POS,Particulier
680828,341292,4694634-1120642,20MAY2024,122.36,812584,+,SIC:POS,Achat POS,Entreprise
577309,635593,7041876-1930113,13AUG2021,794.67,814150,-,SIC:DDI,Depot Especes,Joint
840734,324345,2077581-7960328,02AUG2021,14.51,812824,-,SIC:CHQ,Cheque,Trust
953085,897441,1615675-8630712,14DEC2020,126.45,812139,-,SIC:POS,Achat POS,Particulier
766563,974628,7120868-3728882,09NOV2023,88.77,813045,-,SIC:VMW,Transfert Internet,Particulier
680493,163946,7494562-9767475,21OCT2021,9183.81,818527,-,SIC:VMW,Transfert Internet,Association
659024,458955,6943949-5435261,14APR2021,80.32,816635,-,SIC:ATM,Retrait ATM,Joint
561124,171603,8867190-8419020,04MAR2025,8.16,814657,+,SIC:DDI,Depot Especes,Association
265613,526673,8980915-9010256,23OCT2022,23.98,814150,-,SIC:DPT,Paiement facture,Joint
958130,461899,3457461-5872986,02JAN2024,81.4,813045,+,SIC:DPT,Paiement facture,Joint
335615,982277,2903561-8741810,12OCT2020,804.76,814611,+,SIC:DPT,Paiement facture,Trust
185916,596574,2937918-6173311,06JUN2023,47.22,817912,-,SIC:DPT,Paiement facture,Joint
943298,220764,8857296-2263313,19JUL2023,18.88,811520,+,SIC:VMW,Transfert Internet,Trust
348728,499889,7022335-5963914,26JUN2022,19.43,813045,+,SIC:DPT,Paiement facture,Joint
143195,965322,1476028-2362693,04JUL2021,15.66,818359,-,SIC:CHQ,Cheque,Entreprise
851742,711474,9201172-2525747,29DEC2024,791.5,817873,+,SIC:DDI,Depot Especes,Trust
571145,638289,3472100-8339571,20DEC2021,31.79,813286,-,SIC:VMW,Transfert Internet,Trust
286340,864234,1030163-7569981,15MAR2022,1.96,819785,+,SIC:DDI,Depot Especes,Entreprise
332360,524045,5081983-6137284,17MAR2020,211.05,819785,+,SIC:ATM,Retrait ATM,Association
802667,836971,9831414-2567880,17JUL2024,3.87,814582,-,SIC:ATM,Retrait ATM,Particulier
815707,899281,1812172-1770794,03DEC2022,168.51,812584,+,SIC:VMW,Transfert Internet,Particulier
656711,460455,8138769-6549757,07FEB2024,196.55,814733,-,SIC:DPT,Paiement facture,Joint
516224,766275,3078241-1512765,02JUL2021,81.55,814527,-,SIC:DDI,Depot Especes,Entreprise
734565,906360,7655572-6475691,13JUN2024,17.86,812824,-,SIC:ATM,Retrait ATM,Trust
266931,925622,2813543-7417985,10NOV2021,244.05,812424,+,SIC:VMW,Transfert Internet,Entreprise
953085,897441,1615675-8630712,21AUG2021,359.66,816514,-,SIC:DDI,Depot Especes,Particulier
892911,123839,6005700-8767916,15JUN2022,75.31,814811,+,SIC:DPT,Paiement facture,Association
475876,493049,8225725-3442255,16AUG2022,193.74,814582,-,SIC:DPT,Paiement facture,Entreprise
229592,576877,7183841-5398338,08MAY2024,8.29,814527,-,SIC:DDI,Depot Especes,Particulier
265613,526673,8980915-9010256,20AUG2023,7.71,817224,-,SIC:DPT,Paiement facture,Joint
849747,307963,2275009-5074336,14DEC2022,43.94,816635,+,SIC:POS,Achat POS,Association
130271,760626,5014745-3657144,30MAR2024,602.62,813045,-,SIC:DDI,Depot Especes,Particulier
862120,469685,8297090-5606274,17OCT2025,88.8,814811,-,SIC:DPT,Paiement facture,Particulier
256445,950544,6097514-2429098,14NOV2023,66.4,816514,-,SIC:DDI,Depot Especes,Association
103717,449759,3194789-5394880,17AUG2025,13.34,813547,+,SIC:DDI,Depot Especes,Association
560959,535810,9124385-8792046,08OCT2025,11.32,814582,+,SIC:VMW,Transfert Internet,Joint
401601,729575,6242022-6899644,23JAN2024,9.96,819935,-,SIC:CHQ,Cheque,Entreprise
838253,406849,5854206-5485272,14SEP2023,476.31,816514,-,SIC:CHQ,Cheque,Entreprise
249077,705474,5508325-7949543,13MAY2022,302.47,813045,-,SIC:DDI,Depot Especes,Trust
380310,933551,7658817-2325722,25SEP2022,419.64,816635,-,SIC:VMW,Transfert Internet,Association
894993,351997,8987516-9234615,30SEP2025,72.84,816635,+,SIC:VMW,Transfert Internet,Joint
758765,201883,1661401-6183033,23NOV2022,1.88,817224,-,SIC:ATM,Retrait ATM,Entreprise
498858,600149,1098919-6901533,17MAR2020,16.6,814150,-,SIC:DPT,Paiement facture,Association
947458,664315,9111742-8799287,17DEC2020,330.23,811711,-,SIC:CHQ,Cheque,Joint
863934,924629,6262632-8321474,29NOV2021,18.78,816574,-,SIC:ATM,Retrait ATM,Trust
886530,923856,7905438-1994652,14JAN2022,62.85,812519,+,SIC:POS,Achat POS,Entreprise
885884,262060,4971793-3726327,04NOV2023,133.1,811711,-,SIC:VMW,Transfert Internet,Particulier
423241,566339,7038413-5525929,29MAR2024,13.96,812679,+,SIC:ATM,Retrait ATM,Trust
170674,132938,6543670-2188789,27AUG2025,168.99,817912,-,SIC:VMW,Transfert Internet,Entreprise
722651,746624,4280754-8681643,03MAY2025,10.25,811711,+,SIC:ATM,Retrait ATM,Trust
849747,307963,2275009-5074336,23AUG2025,70.92,813286,+,SIC:VMW,Transfert Internet,Association
259814,305721,6534221-4859072,05JAN2020,135.28,814733,-,SIC:CHQ,Cheque,Trust
862400,545120,2324175-8224389,08NOV2025,67.22,815506,-,SIC:CHQ,Cheque,Association
901467,106693,7918793-3306725,28JUL2022,145.46,816514,-,SIC:CHQ,Cheque,Entreprise
885408,665621,1873851-6871360,06DEC2023,45.38,812139,-,SIC:POS,Achat POS,Particulier
448354,982495,7373495-6528792,04FEB2021,42.07,811434,+,SIC:VMW,Transfert Internet,Joint
778428,742439,1743175-7704473,09DEC2020,66.67,812584,+,SIC:VMW,Transfert Internet,Particulier
468203,772642,9546409-7705490,23JAN2020,30.95,812824,-,SIC:DDI,Depot Especes,Particulier
856157,427905,4184887-3673322,29OCT2025,9653.89,815803,-,SIC:CHQ,Cheque,Trust
561999,584106,5727345-7406756,23JAN2024,25.37,815552,-,SIC:DPT,Paiement facture,Entreprise
119857,562462,6262886-8025967,06DEC2022,29.01,815552,-,SIC:ATM,Retrait ATM,Trust
892911,123839,6005700-8767916,02FEB2023,97.38,817924,-,SIC:CHQ,Cheque,Association
940181,734035,3321942-5194357,30MAY2025,67.96,816881,-,SIC:DPT,Paiement facture,Association
245939,764100,6080688-5060441,10JUN2023,12.29,814733,-,SIC:POS,Achat POS,Trust
912609,372933,8487220-4599894,19JUL2021,5.41,817201,+,SIC:VMW,Transfert Internet,Entreprise
204180,818987,7162857-7017548,03JAN2025,61.51,811520,+,SIC:ATM,Retrait ATM,Particulier
954596,854213,9468772-8159521,28JUN2024,15.24,816881,-,SIC:POS,Achat POS,Entreprise
348728,499889,7022335-5963914,01AUG2020,38.19,819785,+,SIC:DDI,Depot Especes,Joint
492292,510133,8768911-9396422,18AUG2021,15.1,811711,+,SIC:DDI,Depot Especes,Trust
514463,728437,1919088-1128967,13DEC2022,23.1,813286,-,SIC:POS,Achat POS,Entreprise
328552,587623,5299055-7189034,23APR2024,9.42,817924,-,SIC:ATM,Retrait ATM,Entreprise
861319,413058,9214801-3493017,19MAR2023,155.82,811711,+,SIC:VMW,Transfert Internet,Joint
440839,794395,9025733-9816043,17JUL2025,14.81,812535,-,SIC:ATM,Retrait ATM,Trust
