party_key,wire_date,sens,amount,beneficiary,originator,beneficiary_country,originator_country,sign,transaction_type,transaction_type_desc,account_type_desc
348235,20NOV2023,9288312-1440972,890.46,Atlantic Inc,Pacific International,US,DE,-,SIC:VMW,Transfert Internet,Trust
263137,10OCT2023,1834876-2368710,727.55,Martinez W,Johnson S,MX,FR,+,SIC:VMW,Transfert Internet,Trust
787277,06SEP2022,7637601-8698256,512.74,Wang M,Martinez J,CN,US,-,SIC:DDI,Depot Especes,Association
280222,27SEP2024,8719145-7070880,39980.52,Smith M,Brown E,FR,BR,+,SIC:VMW,Transfert Internet,Entreprise
275377,28MAR2024,1517756-4699871,2867.69,Trans Enterprises,Asian Solutions,MX,CN,-,SIC:VMW,Transfert Internet,Association
219781,12MAY2024,6905327-8681625,3289.36,Atlantic Enterprises,United Consulting,US,US,+,SIC:VMW,Transfert Internet,Association
102593,03JUL2024,2562657-8691502,3056.85,Brown L,Wang J,DE,FR,-,SIC:DDI,Depot Especes,Particulier
901280,28JUL2022,5856117-6504979,2204.99,Jones J,Miller R,UK,DE,-,SIC:VMW,Transfert Internet,Entreprise
944565,19APR2023,6885707-9930189,43787.05,Wang J,Rodriguez L,UK,RU,+,SIC:VMW,Transfert Internet,Joint
892911,29JAN2023,6005700-8767916,5290.18,Rodriguez R,Miller L,CN,CH,+,SIC:VMW,Transfert Internet,Association
224395,20JUL2025,7594429-9872505,7173.96,American Trading,Euro Exchange,CH,CA,-,SIC:VMW,Transfert Internet,Particulier
334026,10JUL2023,9653253-1770553,1750.4,Global Group,Atlantic Global,MX,JP,-,SIC:DDI,Depot Especes,Joint
620526,10JUL2025,9774573-9677559,3298.78,Pacific LLC,Global Capital,AE,CN,-,SIC:DDI,Depot Especes,Entreprise
405605,03AUG2022,9237735-5067204,25267.24,Inter LLC,Euro Services,JP,JP,+,SIC:VMW,Transfert Internet,Joint
703656,16FEB2022,7516648-6952633,9761.26,Garcia D,Williams J,DE,DE,-,SIC:VMW,Transfert Internet,Entreprise
194641,22FEB2025,4902772-4671004,3586.82,Wang R,Rodriguez R,AE,AE,+,SIC:VMW,Transfert Internet,Joint
991014,12JUN2022,2221854-8640615,3615.77,Inter LLC,Global Solutions,DE,AE,-,SIC:VMW,Transfert Internet,Trust
574751,20JUN2023,4919346-2253047,6950.69,United Partners,Pacific Management,CH,CN,+,SIC:VMW,Transfert Internet,Entreprise
798435,04JUN2023,3946849-3003921,19260.01,Atlantic Investments,American Consulting,US,CN,+,SIC:VMW,Transfert Internet,Entreprise
858414,03OCT2023,7642917-5269083,2755.51,Trans Enterprises,Pacific Capital,MX,CN,-,SIC:VMW,Transfert Internet,Association
239816,23MAR2024,8795419-9910914,3221.12,Pacific Limited,Global Services,BR,AE,-,SIC:VMW,Transfert Internet,Association
381981,07JUN2025,5503118-9273246,16416.25,Pacific Holdings,Trans Finance,CN,US,-,SIC:DDI,Depot Especes,Joint
461551,23AUG2023,2739191-6578736,21228.32,Trans Limited,Asian Worldwide,FR,CH,+,SIC:VMW,Transfert Internet,Entreprise
829417,24APR2021,4431161-7654381,13691.35,Brown J,Garcia F,BR,FR,-,SIC:VMW,Transfert Internet,Trust
426147,27MAR2025,1430812-6233774,2184.91,Rodriguez C,Johnson M,JP,MX,+,SIC:DDI,Depot Especes,Trust
332335,11AUG2022,3820798-2281433,5075.61,Miller F,Rodriguez F,CH,JP,+,SIC:VMW,Transfert Internet,Joint
238353,19DEC2022,7969667-8663806,4311.52,Johnson J,Singh J,JP,AE,-,SIC:VMW,Transfert Internet,Joint
348728,11FEB2023,7022335-5963914,7412.08,Canadian Enterprises,Global Finance,CH,FR,-,SIC:VMW,Transfert Internet,Joint
367382,30JAN2026,6540893-2326581,8838.18,Davis E,Rodriguez R,UK,CN,-,SIC:VMW,Transfert Internet,Association
911102,01NOV2022,6212643-6491198,18566.71,United Inc,United Finance,MX,AE,+,SIC:VMW,Transfert Internet,Joint
405605,12JUN2022,9237735-5067204,507.55,Miller W,Kim W,US,MX,+,SIC:VMW,Transfert Internet,Joint
424308,26MAY2026,7851696-6472441,415.65,Asian Inc,Inter Management,CA,RU,-,SIC:DDI,Depot Especes,Entreprise
640659,12DEC2025,5667852-7191986,2905.77,Asian Corporation,Pacific Services,FR,MX,+,SIC:DDI,Depot Especes,Association
722651,26APR2023,4280754-8681643,1221.76,Euro LLC,American Services,JP,AE,-,SIC:VMW,Transfert Internet,Trust
574751,27SEP2023,4919346-2253047,5551.96,Asian Limited,Canadian Finance,DE,JP,-,SIC:VMW,Transfert Internet,Entreprise
683390,29DEC2024,6471499-5633880,659.21,Canadian Limited,United Management,CA,UK,-,SIC:DDI,Depot Especes,Association
822040,02SEP2023,6064462-3667199,12486.91,Asian Corporation,Global Finance,RU,CN,-,SIC:VMW,Transfert Internet,Particulier
899649,14AUG2023,4794319-8199311,528.71,Asian Limited,United Finance,RU,UK,+,SIC:VMW,Transfert Internet,Association
335615,26AUG2024,2903561-8741810,7606.84,Canadian Holdings,Global International,CA,CN,-,SIC:VMW,Transfert Internet,Trust
380310,02FEB2023,7658817-2325722,2563.56,Williams S,Kim D,JP,CH,-,SIC:VMW,Transfert Internet,Association
660069,01SEP2024,7610562-1454696,5031.18,Atlantic Trading,United Global,CA,MX,-,SIC:VMW,Transfert Internet,Trust
514463,30OCT2024,1919088-1128967,363.07,Smith F,Smith D,AE,BR,+,SIC:DDI,Depot Especes,Entreprise
515594,10JUN2021,6125594-4928281,1308.59,Ali D,Martinez C,US,US,-,SIC:DDI,Depot Especes,Particulier
244283,12MAY2024,5813037-8926478,3662.39,Canadian Group,Euro Services,US,MX,-,SIC:VMW,Transfert Internet,Trust
516359,21DEC2025,1709714-8318550,12204.02,Asian Corporation,Euro Solutions,RU,RU,+,SIC:DDI,Depot Especes,Joint
310418,20MAY2023,6098752-5069884,503.03,Euro Partners,Asian International,AE,CN,+,SIC:VMW,Transfert Internet,Entreprise
556839,29MAR2023,7718433-9790632,803.27,Ali R,Rodriguez M,CH,BR,-,SIC:VMW,Transfert Internet,Joint
565504,29SEP2021,2289923-3310140,12678.47,Canadian Group,Atlantic International,DE,BR,-,SIC:VMW,Transfert Internet,Joint
810526,02DEC2021,3650391-2239197,14934.24,Smith W,Williams L,DE,CA,-,SIC:VMW,Transfert Internet,Trust
367382,08OCT2022,6540893-2326581,4502.37,United Group,American Solutions,DE,CA,+,SIC:VMW,Transfert Internet,Association
725084,27DEC2022,4786401-9767312,1785.61,Rodriguez R,Miller J,UK,UK,+,SIC:VMW,Transfert Internet,Joint
336047,04FEB2024,4468370-5514473,6786.33,Inter Corporation,Asian Consulting,DE,DE,+,SIC:VMW,Transfert Internet,Particulier
631219,21AUG2025,9406206-7969792,3971.46,Canadian Corporation,Pacific Worldwide,MX,FR,+,SIC:DDI,Depot Especes,Association
861319,19FEB2026,9214801-3493017,1651.03,Davis M,Brown F,BR,MX,+,SIC:VMW,Transfert Internet,Joint
339220,02DEC2024,7298619-8245206,1149.08,Pacific LLC,Asian Finance,UK,CH,+,SIC:VMW,Transfert Internet,Particulier
555292,05JUN2021,1898516-2698824,1344.42,Trans Limited,American Services,CN,CH,+,SIC:DDI,Depot Especes,Trust
703656,30DEC2023,7516648-6952633,2608.64,Canadian Partners,American Services,RU,JP,-,SIC:VMW,Transfert Internet,Entreprise
165290,17MAY2024,8048838-7534336,5397.36,Singh L,Smith C,MX,US,-,SIC:VMW,Transfert Internet,Association
959926,20FEB2026,1521470-7784575,7607.64,Miller E,Garcia C,US,CN,-,SIC:DDI,Depot Especes,Particulier
307757,01AUG2023,7720647-7245146,1588.97,Brown J,Brown F,JP,AE,+,SIC:VMW,Transfert Internet,Association
904214,06JUL2021,7989166-1508113,3902.02,Smith W,Smith S,DE,CN,-,SIC:VMW,Transfert Internet,Joint
541557,22JAN2022,9124053-2290526,3930.48,Ali M,Jones M,CH,AE,+,SIC:VMW,Transfert Internet,Trust
718836,06AUG2023,3247270-6254384,6691.19,Global Group,Inter Global,RU,UK,+,SIC:VMW,Transfert Internet,Entreprise
628373,27AUG2022,4928578-6350316,11949.48,Euro Investments,United Capital,CH,CH,+,SIC:DDI,Depot Especes,Entreprise
720647,04FEB2022,2044933-8297801,8882.25,Garcia S,Smith S,CA,RU,+,SIC:VMW,Transfert Internet,Joint
606404,22JUN2023,7813102-5990112,2910.61,Johnson J,Martinez W,DE,MX,+,SIC:VMW,Transfert Internet,Entreprise
563246,21APR2025,4585314-9576076,3364.61,Euro Enterprises,Pacific Services,JP,BR,-,SIC:VMW,Transfert Internet,Particulier
867926,17JUN2026,9173859-6323132,45310.08,Trans Inc,Canadian Exchange,CN,DE,+,SIC:VMW,Transfert Internet,Entreprise
573489,01NOV2024,7942639-6686328,12633.88,Kim C,Johnson J,BR,BR,+,SIC:VMW,Transfert Internet,Particulier
383060,22FEB2023,4684531-6440561,2123.59,Canadian Investments,Global International,BR,BR,-,SIC:DDI,Depot Especes,Entreprise
543555,14DEC2023,9164991-3597059,8238.73,Pacific Trading,Inter Solutions,JP,FR,-,SIC:VMW,Transfert Internet,Association
194511,07NOV2021,6481437-7970985,932.61,Davis E,Wang R,AE,AE,+,SIC:DDI,Depot Especes,Association
297303,14MAY2025,4640933-9042900,5313.62,American Enterprises,Pacific Management,US,BR,-,SIC:DDI,Depot Especes,Joint
111060,07JAN2021,5340909-4724560,9568.13,Atlantic LLC,Trans Global,BR,UK,-,SIC:VMW,Transfert Internet,Trust
705393,19NOV2021,4136665-7136988,1657.16,Asian Corporation,American Services,DE,UK,-,SIC:DDI,Depot Especes,Joint
949884,13FEB2024,6361793-6828829,826.92,Canadian Limited,Inter Finance,CA,CH,+,SIC:DDI,Depot Especes,Joint
348728,17OCT2024,7022335-5963914,2343.01,Singh M,Smith W,JP,CN,-,SIC:DDI,Depot Especes,Joint
191982,01FEB2021,7425930-3302438,1025.06,American Holdings,Trans Global,CH,DE,+,SIC:VMW,Transfert Internet,Association
648913,20DEC2025,2135470-9825812,1190.59,Euro Group,Atlantic International,US,MX,-,SIC:VMW,Transfert Internet,Trust
554582,26OCT2023,8713146-3566765,872.08,Atlantic Inc,Euro Finance,CN,CH,+,SIC:VMW,Transfert Internet,Association
786594,07JUL2024,8936405-1628569,1585.31,Miller C,Williams S,JP,JP,-,SIC:VMW,Transfert Internet,Association
445705,25JUN2023,7485471-5767195,2508.3,Euro Group,Canadian Capital,CA,CN,+,SIC:VMW,Transfert Internet,Joint
